ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Seasons Count
191,The Other Guys,2010,13+,6.6,78%,1,0,0,0,0,NA
192,Kapoor & Sons,2016,13+,7.7,100%,1,0,0,0,0,NA
193,On Body and Soul,2017,,7.6,89%,1,0,0,0,0,NA
194,The Fundamentals of Caring,2016,18+,7.3,77%,1,0,1,0,0,NA
195,Insidious,2010,13+,6.8,66%,1,0,0,0,0,NA
196,Bill Burr: Paper Tiger,2019,18+,8.2,86%,1,0,0,0,0,NA
197,Bad Boys,1995,18+,6.9,43%,1,0,0,0,0,NA
198,The Foreigner,2017,18+,7.0,65%,1,0,0,0,0,NA
199,The Danish Girl,2015,18+,7.1,67%,1,0,0,0,0,NA
200,The Girl with All the Gifts,2016,18+,6.6,86%,1,0,0,0,0,NA
201,Bird Box,2018,18+,6.6,63%,1,0,0,0,0,NA
202,The Ring,2002,13+,7.1,71%,1,0,1,0,0,NA
203,Hostiles,2017,18+,7.2,72%,1,0,0,0,0,NA
204,Sairat,2016,,8.3,100%,1,0,0,0,0,NA
205,Trumbo,2015,18+,7.5,74%,1,0,1,0,0,NA
206,LA 92,2017,18+,8.2,92%,1,0,0,0,0,NA
207,20th Century Women,2016,18+,7.3,88%,1,0,0,0,0,NA
208,Kal Ho Naa Ho,2003,all,8.0,70%,1,0,0,0,0,NA
209,Swiss Army Man,2016,18+,7.0,71%,1,0,0,0,0,NA
210,In This Corner of the World,2016,13+,7.8,97%,1,0,0,0,0,NA
211,A Ghost Story,2017,18+,6.9,91%,1,0,0,0,0,NA
212,United 93,2006,18+,7.5,90%,1,0,0,0,0,NA
213,Patriot Games,1992,18+,6.9,72%,1,0,1,0,0,NA
214,The Secret Life of Pets 2,2019,7+,6.5,60%,1,0,0,0,0,NA
215,Hitch,2005,13+,6.6,68%,1,1,0,0,0,NA
216,The Young Offenders,2016,,7.1,100%,1,0,0,0,0,3
217,Enemy,2013,18+,6.9,71%,1,0,0,0,0,NA
218,Mirage,2018,18+,7.4,71%,1,0,1,0,0,NA
219,Everybody's Everything,2019,18+,7.4,100%,1,0,0,0,0,NA
220,Indiana Jones and the Kingdom of the Crystal Skull,2008,13+,6.1,78%,1,0,0,0,0,NA
221,The Guernsey Literary & Potato Peel Pie Society,2018,,7.4,81%,1,0,0,0,0,NA
222,I Don't Feel at Home in This World Anymore,2017,18+,6.9,88%,1,0,0,0,0,NA
223,The Endless,2018,,6.5,94%,1,0,0,0,0,NA
224,Julie & Julia,2009,13+,7.0,77%,1,0,0,0,0,NA
225,The Game Changers,2019,,7.9,70%,1,0,0,0,0,NA
226,Under the Shadow,2016,13+,6.9,99%,1,0,0,0,0,NA
227,Angel Has Fallen,2019,18+,6.4,39%,1,0,0,0,0,NA
228,Kon-Tiki,2012,13+,7.2,81%,1,0,1,0,0,NA
229,Mary Poppins Returns,2018,7+,6.7,79%,1,0,0,0,0,NA
230,Kajaki,2014,18+,7.1,100%,1,0,0,0,0,NA
231,The Fear of 13,2015,,7.7,94%,1,0,0,0,0,NA
232,The Night Comes for Us,2018,18+,7.0,92%,1,0,0,0,0,NA
233,Blood Father,2016,18+,6.4,89%,1,0,0,0,0,NA
234,Stree,2018,7+,7.6,77%,1,0,0,0,0,NA
235,American Factory,2019,16+,7.4,97%,1,0,0,0,0,NA
236,Code 8,2019,,6.1,79%,1,0,0,0,0,NA
237,Salt,2010,13+,6.4,62%,1,0,0,0,0,NA
238,The Hundred-Foot Journey,2014,7+,7.3,67%,1,0,0,0,0,NA
239,The Distinguished Citizen,2016,,7.5,100%,1,0,0,0,0,NA
240,Scooby-Doo on Zombie Island,1998,all,7.8,86%,1,0,0,0,0,NA
241,Chasing Coral,2017,,8.1,100%,1,0,0,0,0,NA
242,The End of the Tour,2015,18+,7.3,92%,1,0,0,0,0,NA
243,The One I Love,2014,18+,7.1,82%,1,0,0,0,0,NA
244,Underworld,2003,18+,7.0,31%,1,0,0,0,0,NA
245,The Death of Mr. Lazarescu,2005,18+,7.9,93%,1,0,0,0,0,NA
246,Madagascar: Escape 2 Africa,2008,7+,6.6,64%,1,0,0,0,0,NA
247,The Wolf's Call,2019,16+,6.9,92%,1,0,0,0,0,NA
248,What Happened to Monday,2017,18+,6.9,59%,1,0,0,0,0,NA
249,The Willoughbys,2020,7+,6.4,90%,1,0,0,0,0,NA
250,The White Helmets,2016,16+,7.5,100%,1,0,0,0,0,NA
251,Suburra,2015,,7.4,91%,1,0,0,0,0,3
252,The Matrix Revolutions,2003,18+,6.8,35%,1,0,0,0,0,NA
253,Richard Pryor: Live in Concert,1979,18+,8.2,92%,1,0,0,0,0,NA
254,Austin Powers: The Spy Who Shagged Me,1999,13+,6.6,52%,1,0,0,0,0,NA
255,Get Him to the Greek,2010,18+,6.4,72%,1,0,0,0,0,NA
256,Slow West,2015,18+,6.9,92%,1,0,0,0,0,NA
257,The Meyerowitz Stories (New and Selected),2017,18+,6.9,93%,1,0,0,0,0,NA
258,The Battered Bastards of Baseball,2014,,8.0,100%,1,0,0,0,0,NA
259,The Perfection,2018,18+,6.1,83%,1,0,0,0,0,NA
260,Ip Man 3,2015,13+,7.1,78%,1,0,0,0,0,NA
261,Sinister,2012,18+,6.8,64%,1,0,0,0,0,NA
262,Rush: Beyond the Lighted Stage,2010,,8.4,90%,1,0,0,0,0,NA
263,20 Feet from Stardom,2013,13+,7.4,99%,1,0,0,0,0,NA
264,The Stanford Prison Experiment,2015,18+,6.9,84%,1,0,0,0,0,NA
265,My Week with Marilyn,2011,13+,7.0,83%,1,0,0,0,0,NA
266,Catfish,2010,13+,7.1,80%,1,0,0,0,0,NA
267,Secret Superstar,2017,,7.9,90%,1,0,0,0,0,NA
268,Private Life,2018,,7.2,94%,1,0,0,0,0,NA
269,Jarhead,2005,18+,7.0,61%,1,0,0,0,0,NA
270,Yes Man,2008,13+,6.8,46%,1,0,0,0,0,NA
271,For the Love of Spock,2016,,7.6,100%,1,0,0,0,0,NA
272,Goon,2012,18+,6.8,81%,1,0,0,0,0,NA
273,Ace Ventura: Pet Detective,1994,13+,6.9,48%,1,0,0,0,0,NA
274,Inequality for All,2013,7+,8.0,90%,1,0,0,0,0,NA
275,Olympus Has Fallen,2013,18+,6.5,49%,1,0,0,0,0,NA
276,Dave Chappelle: Sticks & Stones,2019,18+,8.5,35%,1,0,0,0,0,NA
277,John Mulaney: Kid Gorgeous at Radio City,2018,18+,7.9,100%,1,0,0,0,0,NA
278,La Bamba,1987,13+,6.9,90%,1,0,0,0,0,NA
279,Public Enemies,2009,18+,7.0,68%,1,0,0,0,0,NA
280,Supersonic,2016,18+,7.9,84%,1,0,0,0,0,NA
281,The Edge of Democracy,2019,16+,7.1,97%,1,0,0,0,0,NA
282,The Polar Express,2004,all,6.6,56%,1,0,0,0,0,NA
283,Under the Skin,2014,18+,6.3,85%,1,0,0,0,0,NA
284,Crip Camp: A Disability Revolution,2020,18+,7.8,100%,1,0,0,0,0,NA
285,Tell Me Who I Am,2019,,7.6,95%,1,0,0,0,0,NA
286,Hey Arnold! The Jungle Movie,2017,7+,7.6,100%,1,1,0,0,0,NA
287,Zack and Miri Make a Porno,2008,18+,6.5,65%,1,0,0,0,0,NA
288,The Score,2001,18+,6.8,73%,1,0,1,0,0,NA
289,Hamburger Hill,1987,18+,6.7,100%,1,0,1,0,0,NA
290,9,2009,13+,7.1,57%,1,0,0,0,0,NA
291,Undefeated,2011,13+,7.7,96%,1,0,0,0,0,NA
292,Team Foxcatcher,2016,,7.3,100%,1,0,0,0,0,NA
293,A Shaun the Sheep Movie: Farmageddon,2019,all,6.9,97%,1,0,0,0,0,NA
294,April and the Extraordinary World,2015,7+,7.3,96%,1,0,0,0,0,NA
295,The Highwaymen,2019,18+,6.9,57%,1,0,0,0,0,NA
296,Legend,2015,18+,6.9,61%,1,0,0,0,0,NA
297,Boy & the World,2014,7+,7.6,93%,1,0,0,0,0,NA
298,Creep 2,2017,,6.4,100%,1,0,0,0,0,NA
299,Terminator 3: Rise of the Machines,2003,18+,6.3,69%,1,0,0,0,0,NA
300,Unrest,2017,,7.7,100%,1,0,0,0,0,NA
301,Guru,2007,13+,7.7,83%,1,0,0,0,0,NA
302,Louis C.K. 2017,2017,18+,7.6,100%,1,0,0,0,0,NA
303,A Twelve-Year Night,2018,,7.6,88%,1,0,0,0,0,NA
304,Happy as Lazzaro,2018,,7.6,91%,1,0,0,0,0,NA
305,"What Happened, Miss Simone?",2015,,7.6,89%,1,0,0,0,0,NA
